Data_de_Venda,Nome_do_Produto,Quantidade_Vendida,Preço_Unitário,Região_de_Venda,Promoção_Ativa
2024-01-07,Papel Toalha FD,68,6.46,Sudeste,Não
2024-01-07,Fralda P,26,26.28,Nordeste,Não
2024-01-07,Fralda XG,2,32.24,Nordeste,Não
2024-01-07,Papel Toalha FD,65,6.88,Sudeste,Não
2024-01-07,Papel Higiênico 50m,51,7.32,Norte,Sim
2024-01-07,Papel Toalha FD,41,7.69,Sul,Não
2024-01-07,Papel Higiênico 50m,101,7.84,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,25,5.88,Sudeste,Não
2024-01-07,Fralda M,8,29.63,Sul,Não
2024-01-07,Lenço Umedecido,27,4.75,Sudeste,Não
2024-01-07,Papel Higiênico 30m,9,5.58,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,12,5.81,Sul,Sim
2024-01-07,Fralda G,52,29.55,Sudeste,Não
2024-01-07,Papel Toalha FD,33,6.84,Nordeste,Não
2024-01-07,Papel Higiênico 30m,29,5.49,Sul,Não
2024-01-07,Papel Higiênico 30m,17,5.21,Centro-Oeste,Não
2024-01-07,Papel Toalha FT,1,7.28,Sudeste,Não
2024-01-07,Fralda P,52,27.88,Nordeste,Não
2024-01-07,Papel Higiênico 30m,48,5.93,Sudeste,Não
2024-01-07,Papel Higiênico 40m,6,6.93,Norte,Não
2024-01-07,Lenço Umedecido,2,5.28,Sudeste,Não
2024-01-07,Papel Higiênico 30m,42,5.15,Sudeste,Não
2024-01-07,Fralda M,3,28.7,Nordeste,Não
2024-01-07,Papel Higiênico 40m,117,6.42,Sudeste,Não
2024-01-07,Papel Higiênico 50m,45,6.52,Nordeste,Não
2024-01-07,Papel Higiênico 30m,6,5.34,Nordeste,Sim
2024-01-07,Papel Higiênico 40m,18,6.57,Sul,Não
2024-01-07,Fralda G,44,33.63,Centro-Oeste,Não
2024-01-07,Papel Higiênico 40m,26,6.77,Nordeste,Não
2024-01-07,Papel Toalha FT,1,8.27,Centro-Oeste,Não
2024-01-07,Papel Higiênico 30m,14,5.58,Centro-Oeste,Não
2024-01-07,Papel Toalha FD,126,6.37,Nordeste,Sim
2024-01-07,Papel Higiênico 30m,23,5.76,Nordeste,Não
2024-01-07,Fralda M,49,29.11,Sudeste,Não
2024-01-07,Fralda G,13,28.75,Norte,Não
2024-01-07,Fralda P,11,24.29,Sudeste,Não
2024-01-07,Papel Higiênico 30m,33,5.32,Sul,Não
2024-01-07,Papel Toalha FD,24,7.26,Sul,Não
2024-01-07,Fralda XG,21,33.75,Sudeste,Não
2024-01-07,Papel Toalha FT,8,8.18,Sudeste,Não
2024-01-07,Papel Higiênico 30m,6,5.35,Sudeste,Não
2024-01-07,Papel Higiênico 30m,120,5.14,Nordeste,Não
2024-01-07,Papel Toalha FT,49,7.61,Sul,Sim
2024-01-07,Papel Higiênico 30m,12,5.71,Sudeste,Não
2024-01-07,Papel Higiênico 30m,31,6.0,Nordeste,Sim
2024-01-07,Fralda M,15,30.13,Norte,Não
2024-01-07,Papel Higiênico 50m,34,8.33,Sudeste,Sim
2024-01-07,Papel Toalha FD,4,6.92,Norte,Não
2024-01-07,Fralda M,42,30.07,Sudeste,Não
2024-01-07,Fralda P,40,24.96,Sudeste,Não
2024-01-07,Fralda M,26,28.49,Sul,Não
2024-01-07,Papel Higiênico 40m,27,6.82,Sul,Não
2024-01-07,Papel Toalha FD,25,6.83,Centro-Oeste,Não
2024-01-07,Fralda G,12,26.61,Norte,Não
2024-01-07,Papel Higiênico 30m,35,5.15,Sul,Não
2024-01-07,Fralda M,8,25.23,Centro-Oeste,Não
2024-01-07,Papel Toalha FD,28,7.69,Sudeste,Não
2024-01-07,Papel Higiênico 40m,46,6.57,Sul,Sim
2024-01-07,Papel Toalha FD,76,7.62,Sul,Não
2024-01-07,Papel Toalha FT,109,7.49,Sudeste,Não
2024-01-07,Lenço Umedecido,55,4.29,Sul,Não
2024-01-07,Papel Higiênico 30m,16,5.46,Sudeste,Não
2024-01-07,Papel Higiênico 50m,17,7.51,Sul,Não
2024-01-07,Papel Higiênico 40m,72,6.9,Sudeste,Não
2024-01-07,Fralda G,15,31.71,Nordeste,Não
2024-01-07,Papel Higiênico 30m,40,5.27,Sudeste,Não
2024-01-07,Papel Higiênico 30m,24,5.43,Sudeste,Sim
2024-01-07,Fralda P,56,24.42,Sudeste,Não
2024-01-07,Fralda M,46,28.3,Norte,Não
2024-01-07,Fralda P,9,25.6,Sudeste,Não
2024-01-07,Papel Higiênico 30m,42,5.64,Sudeste,Não
2024-01-07,Papel Higiênico 50m,205,7.49,Centro-Oeste,Não
2024-01-07,Papel Toalha FD,69,6.59,Sudeste,Não
2024-01-07,Papel Toalha FT,46,7.97,Centro-Oeste,Sim
2024-01-07,Fralda M,35,24.43,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,1,5.41,Sul,Sim
2024-01-07,Papel Higiênico 30m,41,5.28,Sudeste,Não
2024-01-07,Papel Toalha FD,16,6.96,Sul,Não
2024-01-07,Papel Higiênico 30m,37,5.0,Sudeste,Não
2024-01-07,Fralda P,6,27.85,Sul,Não
2024-01-07,Fralda G,13,31.62,Sul,Sim
2024-01-07,Papel Toalha FD,43,6.84,Centro-Oeste,Não
2024-01-07,Papel Toalha FD,24,6.52,Centro-Oeste,Não
2024-01-07,Papel Higiênico 30m,8,5.79,Sudeste,Não
2024-01-07,Fralda P,26,24.66,Nordeste,Não
2024-01-07,Lenço Umedecido,47,4.71,Sul,Não
2024-01-07,Lenço Umedecido,33,4.75,Sudeste,Não
2024-01-07,Papel Toalha FD,21,6.29,Norte,Não
2024-01-07,Papel Higiênico 40m,57,6.51,Centro-Oeste,Não
2024-01-07,Papel Higiênico 50m,33,7.75,Sudeste,Não
2024-01-07,Papel Higiênico 30m,20,5.57,Centro-Oeste,Não
2024-01-07,Fralda P,123,25.2,Sudeste,Não
2024-01-07,Fralda P,145,27.94,Sudeste,Não
2024-01-07,Papel Toalha FT,9,7.6,Nordeste,Sim
2024-01-07,Fralda XG,28,30.92,Sudeste,Não
2024-01-07,Lenço Umedecido,30,4.8,Sudeste,Não
2024-01-07,Papel Higiênico 30m,24,6.02,Nordeste,Não
2024-01-07,Papel Higiênico 30m,45,5.32,Sudeste,Sim
2024-01-07,Papel Higiênico 40m,7,6.8,Sudeste,Não
2024-01-07,Papel Higiênico 40m,16,6.77,Sul,Não
2024-01-07,Papel Higiênico 30m,1,5.78,Sudeste,Não
2024-01-07,Fralda P,10,25.62,Nordeste,Não
2024-01-07,Lenço Umedecido,6,4.72,Centro-Oeste,Não
2024-01-07,Lenço Umedecido,117,4.88,Sudeste,Sim
2024-01-07,Papel Toalha FT,2,8.18,Sudeste,Não
2024-01-07,Fralda M,114,26.78,Nordeste,Sim
2024-01-07,Papel Toalha FD,13,6.89,Nordeste,Não
2024-01-07,Papel Toalha FD,2,6.58,Sudeste,Não
2024-01-07,Papel Toalha FD,133,6.59,Sudeste,Não
2024-01-07,Papel Higiênico 30m,111,5.67,Sudeste,Sim
2024-01-07,Papel Higiênico 40m,112,6.3,Sudeste,Não
2024-01-07,Papel Higiênico 30m,16,5.1,Sul,Não
2024-01-07,Fralda P,2,23.92,Sul,Não
2024-01-07,Papel Higiênico 40m,12,6.17,Sudeste,Não
2024-01-07,Papel Toalha FD,20,7.16,Sul,Não
2024-01-07,Lenço Umedecido,9,4.74,Centro-Oeste,Sim
2024-01-07,Papel Higiênico 30m,31,5.14,Sudeste,Não
2024-01-07,Papel Higiênico 30m,23,5.47,Nordeste,Não
2024-01-07,Fralda P,40,27.58,Centro-Oeste,Não
2024-01-07,Papel Higiênico 40m,33,6.73,Nordeste,Não
2024-01-07,Papel Higiênico 30m,7,5.65,Sudeste,Não
2024-01-07,Papel Higiênico 30m,84,5.27,Sudeste,Sim
2024-01-07,Fralda G,9,32.36,Sudeste,Não
2024-01-07,Papel Higiênico 30m,80,5.39,Centro-Oeste,Não
2024-01-07,Papel Higiênico 30m,21,5.28,Sudeste,Sim
2024-01-07,Papel Higiênico 50m,16,6.76,Sudeste,Não
2024-01-07,Papel Higiênico 30m,17,6.12,Norte,Sim
2024-01-07,Papel Higiênico 40m,18,6.26,Sudeste,Sim
2024-01-07,Fralda G,32,27.41,Sudeste,Não
2024-01-07,Papel Higiênico 30m,22,5.63,Nordeste,Sim
2024-01-07,Papel Higiênico 30m,4,5.71,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,51,5.41,Centro-Oeste,Não
2024-01-07,Fralda XG,23,31.02,Sudeste,Não
2024-01-07,Papel Higiênico 30m,4,5.71,Nordeste,Sim
2024-01-07,Papel Higiênico 50m,9,6.94,Sul,Sim
2024-01-07,Lenço Umedecido,77,4.73,Sudeste,Não
2024-01-07,Fralda G,41,29.3,Norte,Não
2024-01-07,Papel Higiênico 30m,13,5.63,Sudeste,Não
2024-01-07,Papel Higiênico 30m,4,5.25,Sul,Sim
2024-01-07,Papel Higiênico 30m,9,5.44,Norte,Não
2024-01-07,Fralda P,98,26.84,Sudeste,Não
2024-01-07,Fralda P,24,27.35,Sudeste,Não
2024-01-07,Papel Higiênico 40m,14,6.32,Sudeste,Não
2024-01-07,Papel Higiênico 30m,89,5.86,Sudeste,Não
2024-01-07,Fralda P,124,27.24,Centro-Oeste,Não
2024-01-07,Papel Higiênico 30m,18,5.68,Norte,Não
2024-01-07,Fralda P,72,25.46,Sudeste,Não
2024-01-07,Fralda G,45,29.71,Sudeste,Não
2024-01-07,Fralda M,22,28.36,Sudeste,Não
2024-01-07,Papel Higiênico 30m,2,5.63,Sudeste,Não
2024-01-07,Fralda P,90,24.85,Sudeste,Não
2024-01-07,Papel Higiênico 30m,85,5.66,Sudeste,Não
2024-01-07,Lenço Umedecido,36,5.0,Sudeste,Não
2024-01-07,Papel Toalha FD,15,7.24,Nordeste,Não
2024-01-07,Papel Higiênico 30m,19,5.39,Sul,Não
2024-01-07,Papel Higiênico 30m,27,5.52,Norte,Não
2024-01-07,Papel Higiênico 30m,47,5.86,Norte,Não
2024-01-07,Papel Higiênico 30m,24,5.44,Centro-Oeste,Não
2024-01-07,Papel Higiênico 30m,84,5.56,Sudeste,Não
2024-01-07,Fralda P,4,25.21,Nordeste,Não
2024-01-07,Papel Higiênico 50m,14,7.64,Norte,Não
2024-01-07,Papel Higiênico 30m,38,5.04,Sudeste,Não
2024-01-07,Papel Higiênico 40m,27,6.49,Nordeste,Não
2024-01-07,Papel Higiênico 40m,14,6.36,Sudeste,Sim
2024-01-07,Papel Toalha FT,70,7.8,Centro-Oeste,Não
2024-01-07,Papel Toalha FD,17,7.34,Sudeste,Não
2024-01-07,Papel Higiênico 50m,8,7.4,Norte,Não
2024-01-07,Papel Higiênico 30m,17,5.75,Sul,Sim
2024-01-07,Fralda G,87,29.98,Sudeste,Sim
2024-01-07,Fralda P,12,25.44,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,18,5.29,Sul,Sim
2024-01-07,Papel Higiênico 30m,39,5.98,Sudeste,Não
2024-01-07,Papel Higiênico 30m,9,5.73,Sudeste,Não
2024-01-07,Fralda M,31,28.84,Centro-Oeste,Não
2024-01-07,Fralda P,61,25.06,Nordeste,Não
2024-01-07,Papel Higiênico 30m,14,5.3,Sul,Sim
2024-01-07,Papel Higiênico 30m,22,5.51,Sudeste,Não
2024-01-07,Papel Toalha FD,31,6.83,Sudeste,Não
2024-01-07,Papel Higiênico 40m,5,6.49,Sudeste,Não
2024-01-07,Fralda XG,12,32.9,Norte,Não
2024-01-07,Papel Toalha FT,60,7.97,Sudeste,Não
2024-01-07,Papel Higiênico 30m,31,5.58,Centro-Oeste,Não
2024-01-07,Fralda P,67,26.54,Sudeste,Não
2024-01-07,Fralda XG,86,32.97,Nordeste,Não
2024-01-07,Papel Toalha FT,8,7.58,Centro-Oeste,Não
2024-01-07,Papel Toalha FT,20,8.5,Sul,Não
2024-01-07,Papel Higiênico 30m,14,5.74,Norte,Não
2024-01-07,Papel Higiênico 40m,3,6.07,Sudeste,Não
2024-01-07,Lenço Umedecido,38,4.88,Sudeste,Não
2024-01-07,Fralda P,5,26.69,Sul,Sim
2024-01-07,Papel Toalha FD,51,6.94,Sudeste,Não
2024-01-07,Papel Toalha FT,122,7.46,Sudeste,Não
2024-01-07,Fralda M,38,25.46,Sudeste,Não
2024-01-07,Papel Higiênico 40m,118,6.52,Sul,Não
2024-01-07,Papel Higiênico 30m,25,5.97,Nordeste,Não
2024-01-07,Fralda M,58,27.85,Sudeste,Não
2024-01-07,Papel Higiênico 40m,27,6.5,Sudeste,Não
2024-01-07,Papel Higiênico 40m,99,6.03,Sudeste,Não
2024-01-07,Papel Higiênico 40m,45,6.39,Nordeste,Não
2024-01-07,Fralda P,13,27.65,Sudeste,Não
2024-01-07,Papel Higiênico 30m,37,5.26,Sul,Sim
2024-01-07,Papel Higiênico 40m,73,6.5,Sudeste,Não
2024-01-07,Papel Higiênico 30m,22,5.45,Nordeste,Não
2024-01-07,Fralda M,3,27.63,Sudeste,Sim
2024-01-07,Fralda XG,42,30.58,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,9,5.51,Centro-Oeste,Não
2024-01-07,Papel Higiênico 30m,32,5.41,Sul,Não
2024-01-07,Fralda XG,30,31.09,Sul,Não
2024-01-07,Papel Higiênico 40m,73,6.53,Sul,Não
2024-01-07,Papel Higiênico 30m,24,5.68,Norte,Não
2024-01-07,Papel Higiênico 50m,8,7.1,Sudeste,Não
2024-01-07,Papel Toalha FT,29,8.28,Sudeste,Não
2024-01-07,Papel Toalha FT,34,7.94,Centro-Oeste,Sim
2024-01-07,Lenço Umedecido,6,5.11,Norte,Não
2024-01-07,Papel Higiênico 30m,49,5.48,Norte,Não
2024-01-07,Papel Higiênico 30m,64,5.01,Sudeste,Não
2024-01-07,Papel Higiênico 40m,42,6.66,Sul,Não
2024-01-07,Papel Higiênico 40m,98,6.3,Norte,Não
2024-01-07,Fralda M,17,26.3,Sudeste,Sim
2024-01-07,Papel Higiênico 50m,119,7.9,Centro-Oeste,Sim
2024-01-07,Fralda G,26,29.29,Centro-Oeste,Não
2024-01-07,Papel Higiênico 30m,87,5.31,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,20,5.77,Sul,Não
2024-01-07,Papel Higiênico 30m,22,5.53,Sudeste,Não
2024-01-07,Fralda M,52,26.57,Sudeste,Não
2024-01-07,Papel Higiênico 30m,62,5.97,Sul,Não
2024-01-07,Lenço Umedecido,18,4.76,Norte,Não
2024-01-07,Lenço Umedecido,45,4.87,Nordeste,Sim
2024-01-07,Papel Toalha FD,16,7.45,Norte,Não
2024-01-07,Lenço Umedecido,52,4.81,Sudeste,Não
2024-01-07,Fralda P,53,24.94,Sudeste,Sim
2024-01-07,Papel Toalha FT,37,7.93,Sudeste,Não
2024-01-07,Lenço Umedecido,50,4.82,Sudeste,Não
2024-01-07,Fralda M,16,28.92,Centro-Oeste,Não
2024-01-07,Fralda P,31,25.24,Nordeste,Não
2024-01-07,Fralda G,46,28.39,Centro-Oeste,Não
2024-01-07,Fralda G,64,28.47,Centro-Oeste,Não
2024-01-07,Papel Higiênico 30m,96,5.24,Sudeste,Não
2024-01-07,Lenço Umedecido,27,4.94,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,22,5.56,Norte,Não
2024-01-07,Papel Higiênico 30m,8,5.49,Norte,Não
2024-01-07,Fralda P,83,26.31,Sudeste,Não
2024-01-07,Papel Higiênico 30m,83,5.4,Norte,Não
2024-01-07,Papel Higiênico 30m,31,5.39,Sudeste,Não
2024-01-07,Fralda G,64,30.44,Sudeste,Não
2024-01-07,Papel Toalha FT,69,7.58,Norte,Não
2024-01-07,Papel Toalha FT,105,8.09,Sudeste,Não
2024-01-07,Papel Toalha FT,101,8.31,Centro-Oeste,Não
2024-01-07,Papel Higiênico 50m,41,7.51,Sudeste,Não
2024-01-07,Fralda P,7,27.04,Sul,Não
2024-01-07,Fralda M,35,26.9,Sul,Não
2024-01-07,Fralda M,71,29.23,Sudeste,Não
2024-01-07,Papel Higiênico 50m,55,7.64,Norte,Não
2024-01-07,Fralda P,3,24.91,Sudeste,Não
2024-01-07,Papel Higiênico 30m,83,5.46,Sudeste,Não
2024-01-07,Papel Higiênico 30m,85,5.6,Sudeste,Não
2024-01-07,Papel Higiênico 30m,31,6.1,Centro-Oeste,Não
2024-01-07,Fralda P,37,26.97,Sudeste,Não
2024-01-07,Papel Higiênico 40m,23,6.48,Norte,Não
2024-01-07,Fralda P,2,26.68,Sul,Não
2024-01-07,Papel Higiênico 30m,1,5.27,Sudeste,Não
2024-01-07,Papel Higiênico 50m,16,7.13,Centro-Oeste,Sim
2024-01-07,Papel Higiênico 40m,2,6.92,Centro-Oeste,Não
2024-01-07,Fralda XG,13,30.9,Sudeste,Não
2024-01-07,Papel Higiênico 50m,70,7.59,Sudeste,Sim
2024-01-07,Fralda M,12,28.99,Sudeste,Não
2024-01-07,Fralda M,92,26.5,Sul,Sim
2024-01-07,Papel Toalha FT,11,8.06,Sul,Não
2024-01-07,Papel Higiênico 30m,37,5.84,Norte,Não
